source,target,score
142.0,341.0,0.9104477611940298
142.0,130.0,0.9104477611940298
142.0,360.0,0.9104477611940298
142.0,68.0,0.9850746268656716
142.0,83.0,0.9104477611940298
142.0,389.0,0.9253731343283582
142.0,333.0,0.9701492537313433
142.0,205.0,0.9701492537313433
142.0,287.0,0.9552238805970149
142.0,153.0,0.9253731343283582
142.0,276.0,0.9104477611940298
142.0,85.0,0.9402985074626866
40.0,106.0,0.9104477611940298
40.0,136.0,0.9253731343283582
40.0,226.0,0.9104477611940298
40.0,362.0,0.9104477611940298
40.0,0.0,0.9104477611940298
40.0,25.0,0.9402985074626866
40.0,328.0,0.9104477611940298
40.0,164.0,0.9253731343283582
40.0,382.0,0.9104477611940298
40.0,160.0,0.9253731343283582
40.0,304.0,0.9104477611940298
40.0,76.0,0.9402985074626866
40.0,387.0,0.9104477611940298
40.0,3.0,0.9104477611940298
40.0,183.0,0.9253731343283582
40.0,371.0,0.9104477611940298
40.0,402.0,0.9253731343283582
40.0,44.0,0.9253731343283582
40.0,152.0,0.9104477611940298
40.0,169.0,0.9253731343283582
40.0,86.0,0.9253731343283582
40.0,336.0,0.9104477611940298
40.0,94.0,0.9104477611940298
40.0,246.0,0.9104477611940298
40.0,235.0,0.9701492537313433
40.0,37.0,0.9402985074626866
40.0,101.0,0.9104477611940298
40.0,251.0,0.9104477611940298
40.0,163.0,0.9104477611940298
40.0,83.0,0.9253731343283582
40.0,287.0,0.9104477611940298
40.0,122.0,0.9552238805970149
26.0,379.0,0.9253731343283582
26.0,391.0,0.9104477611940298
26.0,40.0,0.9104477611940298
26.0,26.0,1.0
26.0,106.0,0.9104477611940298
26.0,39.0,0.9104477611940298
26.0,290.0,0.9104477611940298
26.0,226.0,0.9402985074626866
26.0,362.0,0.9104477611940298
26.0,25.0,0.9104477611940298
26.0,164.0,0.9253731343283582
26.0,256.0,0.9253731343283582
26.0,281.0,0.9104477611940298
26.0,304.0,0.9104477611940298
26.0,76.0,0.9104477611940298
26.0,387.0,0.9402985074626866
26.0,348.0,0.9104477611940298
26.0,3.0,0.9104477611940298
26.0,371.0,1.0
26.0,292.0,0.9253731343283582
26.0,44.0,0.9253731343283582
26.0,343.0,0.9104477611940298
26.0,336.0,0.9104477611940298
26.0,188.0,0.9253731343283582
26.0,364.0,0.9253731343283582
26.0,37.0,0.9701492537313433
26.0,260.0,0.9253731343283582
26.0,122.0,0.9253731343283582
106.0,371.0,0.9104477611940298
106.0,123.0,0.9104477611940298
106.0,292.0,0.9552238805970149
106.0,44.0,0.9552238805970149
106.0,152.0,0.9104477611940298
106.0,14.0,0.9402985074626866
106.0,55.0,0.9253731343283582
106.0,169.0,0.9253731343283582
106.0,118.0,0.9104477611940298
106.0,336.0,0.9701492537313433
106.0,188.0,0.9253731343283582
106.0,80.0,0.9104477611940298
106.0,319.0,0.9253731343283582
106.0,35.0,0.9253731343283582
106.0,364.0,0.9850746268656716
106.0,317.0,0.9253731343283582
106.0,94.0,0.9104477611940298
106.0,204.0,0.9104477611940298
106.0,11.0,0.9253731343283582
106.0,235.0,0.9104477611940298
106.0,37.0,0.9402985074626866
106.0,299.0,0.9253731343283582
106.0,260.0,0.9253731343283582
106.0,51.0,0.9104477611940298
106.0,251.0,0.9104477611940298
106.0,83.0,0.9253731343283582
106.0,389.0,0.9104477611940298
106.0,287.0,0.9104477611940298
106.0,153.0,0.9104477611940298
106.0,122.0,0.9253731343283582
136.0,364.0,0.9104477611940298
136.0,94.0,0.9552238805970149
136.0,235.0,0.9253731343283582
136.0,83.0,0.9104477611940298
136.0,287.0,0.9253731343283582
136.0,122.0,0.9104477611940298
176.0,269.0,0.9402985074626866
176.0,153.0,0.9253731343283582
176.0,85.0,0.9104477611940298
39.0,26.0,0.9104477611940298
39.0,106.0,0.9104477611940298
39.0,39.0,1.0
39.0,78.0,0.9253731343283582
39.0,103.0,0.9253731343283582
39.0,197.0,0.9552238805970149
39.0,331.0,0.9402985074626866
39.0,311.0,0.9253731343283582
39.0,348.0,0.9402985074626866
39.0,213.0,0.9104477611940298
39.0,371.0,0.9104477611940298
39.0,123.0,0.9104477611940298
39.0,343.0,0.9104477611940298
39.0,14.0,0.9402985074626866
39.0,55.0,0.9552238805970149
39.0,118.0,0.9104477611940298
39.0,336.0,0.9104477611940298
39.0,188.0,0.9253731343283582
39.0,342.0,0.9402985074626866
39.0,364.0,0.9253731343283582
39.0,401.0,0.9104477611940298
39.0,340.0,0.9104477611940298
39.0,374.0,0.9253731343283582
113.0,402.0,0.9253731343283582
113.0,4.0,0.9253731343283582
113.0,44.0,0.9253731343283582
113.0,14.0,0.9104477611940298
113.0,336.0,0.9104477611940298
113.0,319.0,0.9552238805970149
113.0,323.0,0.9253731343283582
113.0,386.0,0.9253731343283582
113.0,139.0,0.9104477611940298
113.0,364.0,0.9253731343283582
113.0,373.0,0.9701492537313433
113.0,227.0,0.9104477611940298
113.0,340.0,0.9104477611940298
113.0,357.0,0.9104477611940298
113.0,109.0,0.9104477611940298
113.0,51.0,0.9104477611940298
113.0,68.0,0.9104477611940298
113.0,333.0,0.9253731343283582
113.0,287.0,0.9104477611940298
113.0,272.0,0.9253731343283582
113.0,74.0,0.9253731343283582
64.0,95.0,0.9104477611940298
64.0,58.0,0.9552238805970149
64.0,320.0,0.9402985074626866
64.0,133.0,0.9104477611940298
64.0,397.0,0.9104477611940298
64.0,363.0,0.9253731343283582
64.0,160.0,0.9402985074626866
64.0,224.0,0.9253731343283582
64.0,183.0,0.9402985074626866
64.0,310.0,0.9402985074626866
64.0,402.0,0.9104477611940298
64.0,4.0,0.9402985074626866
64.0,188.0,0.9104477611940298
64.0,227.0,0.9253731343283582
64.0,61.0,0.9104477611940298
64.0,357.0,0.9253731343283582
64.0,68.0,0.9552238805970149
64.0,333.0,0.9402985074626866
64.0,205.0,0.9104477611940298
64.0,276.0,0.9104477611940298
78.0,397.0,0.9104477611940298
78.0,363.0,0.9253731343283582
78.0,331.0,0.9253731343283582
78.0,311.0,0.9402985074626866
78.0,348.0,0.9253731343283582
78.0,213.0,0.9253731343283582
78.0,123.0,0.9253731343283582
78.0,55.0,0.9104477611940298
